"studentID","studentName","studentSurname","solutionID","reviewerID","reviewerSurname","reviewerDepartment","score","hasPassed"
6,"Александр","Сидоров",88,5,"Волков","Теории искусств","5.0","Yes"
9,"Захар","Александров",89,5,"Волков","Теории искусств","2.1","No"
6,"Александр","Сидоров",90,2,"Выготский","Педагогики и психологии","4.4","Yes"
4,"Алексей","Михайлов",91,3,"Макаренко","Трудовой терапии","3.2","Yes"
5,"Михаил","Александров",92,2,"Выготский","Педагогики и психологии","4.6","Yes"
7,"Иван","Кириллов",93,2,"Выготский","Педагогики и психологии","3.6","Yes"
9,"Захар","Александров",94,2,"Выготский","Педагогики и психологии","2.7","No"
3,"Сергей","Алексеев",95,1,"Ушинский","Методики преподавания","1.9","No"
1,"Иван","Иванов",96,4,"Соловейчик","Художественного воспитания","4.8","Yes"
4,"Алексей","Михайлов",97,2,"Выготский","Педагогики и психологии","3.1","Yes"
5,"Михаил","Александров",98,3,"Макаренко","Трудовой терапии","2.8","No"
8,"Кирилл","Захаров",99,4,"Соловейчик","Художественного воспитания","4.9","Yes"
3,"Сергей","Алексеев",100,1,"Ушинский","Методики преподавания","0.9","No"
